---config@允许编辑=是
---config@码表分类=辅码码表
---config@码表别名=日文
---config@允许编辑=是

# 平假名 Hiragana
あ	oha#序50000
い	ohi#序50000
う	ohu#序50000
え	ohe#序50000
お	oho#序50000

か	ohka#序50000
き	ohki#序50000
く	ohku#序50000
け	ohke#序50000
こ	ohko#序50000

さ	ohsa#序50000
し	ohshi#序50000
す	ohsu#序50000
せ	ohse#序50000
そ	ohso#序50000

た	ohta#序50000
ち	ohchi#序50000
つ	ohtsu#序50000
て	ohte#序50000
と	ohto#序50000

な	ohna#序50000
に	ohni#序50000
ぬ	ohnu#序50000
ね	ohne#序50000
の	ohno#序50000

は	ohha#序50000
ひ	ohhi#序50000
ふ	ohfu#序50000
へ	ohhe#序50000
ほ	ohho#序50000

ま	ohma#序50000
み	ohmi#序50000
む	ohmu#序50000
め	ohme#序50000
も	ohmo#序50000

ら	ohra#序50000
り	ohri#序50000
る	ohru#序50000
れ	ohre#序50000
ろ	ohro#序50000

や	ohya#序50000
わ	ohwa#序50000
ん	ohn#序50000

ゆ	ohyu#序50000
よ	ohyo#序50000
を	ohwo#序50000

が	ohga#序50000
ぎ	ohgi#序50000
ぐ	ohgu#序50000
げ	ohge#序50000
ご	ohgo#序50000

ざ	ohza#序50000
じ	ohji#序50000
ず	ohzu#序50000
ぜ	ohze#序50000
ぞ	ohzo#序50000

だ	ohda#序50000
で	ohde#序50000
ど	ohdo#序50000

ば	ohba#序50000
び	ohbi#序50000
ぶ	ohbu#序50000
べ	ohbe#序50000
ぼ	ohbo#序50000

ぱ	ohpa#序50000
ぴ	ohpi#序50000
ぷ	ohpu#序50000
ぺ	ohpe#序50000
ぽ	ohpo#序50000

きゃ	ohkya#序50000
ぎゃ	ohgya#序50000
しゃ	ohsha#序50000
じゃ	ohja#序50000
ちゃ	ohcha#序50000
にゃ	ohnya#序50000
ひゃ	ohhya#序50000
きゅ	ohkyu#序50000
ぎゅ	ohgyu#序50000
しゅ	ohshu#序50000
じゅ	ohju#序50000
ちゅ	ohchu#序50000
にゅ	ohnyu#序50000
ひゅ	ohhyu#序50000
きょ	ohkyo#序50000
ぎょ	ohgyo#序50000
しょ	ohsho#序50000
じょ	ohjo#序50000
ちょ	ohcho#序50000
にょ	ohnyo#序50000
ひょ	ohhyo#序50000
びゃ	ohbya#序50000
ぴゃ	ohpya#序50000
みゃ	ohmya#序50000
りゃ	ohrya#序50000
びゅ	ohbyu#序50000
ぴゅ	ohpyu#序50000
みゅ	ohmyu#序50000
りゅ	ohryu#序50000
びょ	ohbyo#序50000
ぴょ	ohpyo#序50000
みょ	ohmyo#序50000
りょ	ohryo#序50000
#片假名 katakana
ア	oka#序50000
カ	okka#序50000
サ	oksa#序50000
タ	okta#序50000
ナ	okna#序50000
ハ	okha#序50000
マ	okma#序50000
ラ	okra#序50000

イ	oki#序50000
キ	okki#序50000
シ	okshi#序50000
チ	okchi#序50000
ニ	okni#序50000
ヒ	okhi#序50000
ミ	okmi#序50000
リ	okli#序50000

ウ	oku#序50000
ク	okku#序50000
ス	oksu#序50000
ツ	oktsu#序50000
ヌ	oknu#序50000
フ	okfu#序50000
ム	okmu#序50000
ル	okru#序50000

エ	oke#序50000
ケ	okke#序50000
セ	okse#序50000
テ	okte#序50000
ネ	okne#序50000
ヘ	okhe#序50000
メ	okme#序50000
レ	okre#序50000

オ	oko#序50000
コ	okko#序50000
ソ	okso#序50000
ト	okto#序50000
ノ	okno#序50000
ホ	okho#序50000
モ	okmo#序50000
ロ	okmo#序50000

ヤ	okya#序50000
ワ	okwa#序50000
ン	okn#序50000
ユ	okyu#序50000
ヨ	okyo#序50000
ヲ	okwo#序50000
ガ	okga#序50000
ザ	okza#序50000
タ	okda#序50000
バ	okba#序50000
