---config@码表分类=主码-7
---config@码表别名=日文
---config@允许编辑=是

# 日文
#平假名	Hiragana
あ	oa
い	oi
う	ou
え	oe
お	oo

か	oka
き	oki
く	oku
け	oke
こ	oko

さ	osa
し	oshi
す	osu
せ	ose
そ	oso

た	ota
ち	ochi
つ	otsu
て	ote
と	oto

な	ona
に	oni
ぬ	onu
ね	one
の	ono

は	oha
ひ	ohi
ふ	ofu
へ	ohe
ほ	oho

ま	oma
み	omi
む	omu
め	ome
も	omo

ら	ora
り	ori
る	oru
れ	ore
ろ	oro

や	oya
ゆ	oyu
よ	oyo

わ	owa
を	owo
ん	onn
っ	oxtu
ぁ	oxa
ぃ	oxi
ぅ	oxu
ぇ	oxe
ぉ	oxo

が	oga
ぎ	ogi
ぐ	ogu
げ	oge
ご	ogo

ざ	oza
じ	oji
ず	ozu
ぜ	oze
ぞ	ozo

だ	oda
で	ode
ど	odo

ば	oba
び	obi
ぶ	obu
べ	obe
ぼ	obo

ぱ	opa
ぴ	opi
ぷ	opu
ぺ	ope
ぽ	opo

きゃ	okya
きゅ	okyu
きょ	okyo

ぎゃ	ogya
ぎゅ	ogyu
ぎょ	ogyo

しゃ	osha
しゅ	oshu
しょ	osho

じゃ	oja
じゅ	oju
じょ	ojo

ちゃ	ocha
ちゅ	ochu
ちょ	ocho

にゃ	onya
にゅ	onyu
にょ	onyo

ひゃ	ohya
ひゅ	ohyu
ひょ	ohyo

びゃ	obya
びゅ	obyu
びょ	obyo

ぴゃ	opya
ぴゅ	opyu
ぴょ	opyo

みゃ	omya
みゅ	omyu
みょ	omyo

りゃ	orya
りゅ	oryu
りょ	oryo

#片假名	katakana
ア	oa
イ	oi
ウ	ou
エ	oe
オ	oo

カ	oka
キ	oki
ク	oku
ケ	oke
コ	oko

サ	osa
シ	oshi
ス	osu
セ	ose
ソ	oso

タ	ota
チ	ochi
ツ	otsu
テ	ote
ト	oto

ナ	ona
ニ	oni
ヌ	onu
ネ	one
ノ	ono

ハ	oha
ヒ	ohi
フ	ofu
ヘ	ohe
ホ	oho

マ	oma
ミ	omi
ム	omu
メ	ome
モ	omo

ラ	ora
リ	ori
ル	oru
レ	ore
ロ	oro

ヤ	oya
ユ	oyu
ヨ	oyo

ワ	owa
ヲ	owo

ン	onn

ガ	oga
ギ	ogi
グ	ogu
ゲ	oge
ゴ	ogo

ザ	oza
ジ	oji
ズ	ozu
ゼ	oze
ゾ	ozo

ダ	oda
ヂ	odi
ヅ	odu
デ	ode
ド	odo

バ	oba
ビ	obi
ブ	obu
ベ	obe
ボ	obo

パ	opa
ピ	opi
プ	opu
ペ	ope
ポ	opo

キャ	okya
キュ	okyu
キョ	okyo

ギャ	ogya
ギュ	ogyu
ギョ	ogyo

シャ	osha
シュ	oshu
ショ	osho

ジャ	oja
ジュ	oju
ジョ	ojo

チャ	ocha
チュ	ochu
チョ	ocho

ニャ	onya
ニュ	onyu
ニョ	onyo

ヒャ	ohya
ヒュ	ohyu
ヒョ	ohyo

ビャ	obya
ビュ	obyu
ビョ	obyo

ピャ	opya
ピュ	opyu
ピョ	opyo

ミャ	omya
ミュ	omyu
ミョ	omyo

リャ	orya
リュ	oryu
リョ	oryo

ウィ	ouli
ウェ	oule
ウォ	oulo
シェ	osye
ジェ	ojye
チェ	ocye
ティ	oteli
テュ	otelyu
ディ	odeli
デュ	odelyu
トゥ	otolu
ドゥ	odolu
ファ	ofa
フィ	ofi
フェ	ofe
フォ	ofo

ァ	oxap
ィ	oxip
ゥ	oxup
ェ	oxep
ォ	oxop
ヶ	oxke
ヵ	oxka
ュ	oxyu
ヮ	oxwa
ヸ	oxwi

あ	ojm
ぁ	ojm
い	ojm
ぃ	ojm
う	ojm
ぅ	ojm
え	ojm
ぇ	ojm
お	ojm
ぉ	ojm
か	ojm
ゕ	ojm
が	ojm
き	ojm
ぎ	ojm
く	ojm
ぐ	ojm
け	ojm
ゖ	ojm
げ	ojm
こ	ojm
ご	ojm
さ	ojm
ざ	ojm
し	ojm
じ	ojm
す	ojm
ず	ojm
せ	ojm
ぜ	ojm
そ	ojm
ぞ	ojm
た	ojm
だ	ojm
ち	ojm
ぢ	ojm
つ	ojm
っ	ojm
づ	ojm
て	ojm
で	ojm
と	ojm
ど	ojm
な	ojm
に	ojm
ぬ	ojm
ね	ojm
の	ojm
は	ojm
ば	ojm
ぱ	ojm
ひ	ojm
び	ojm
ぴ	ojm
ふ	ojm
ぶ	ojm
ぷ	ojm
へ	ojm
べ	ojm
ぺ	ojm
ほ	ojm
ぼ	ojm
ぽ	ojm
ま	ojm
み	ojm
む	ojm
