---config@允许编辑=是
---config@码表分类=主码-次显码表
---config@码表别名=罕用字·繁体字

#罕用字
卬	ahe#序10000
欸	ais#序9999
咹	ank#序9998
蚆	bai#序9997
妭	ban#序9996
胈	bao#序9995
枹	bcm#序9994
掤	bff#序9993
喯	bfk#序9992
栟	bfm#序9991
犇	bfn#序9990
倴	bfr#序9989
祊	bgp#序9988
搒	bhf#序9987
塝	bht#序9986
姅	bjn#序9985
昄	bjo#序9984
蛃	bki#序9983
昺	bko#序9982
抃	bmf#序9981
昪	bmo#序9980
蔈	bnc#序9979
俵	bnr#序9978
嶓	boe#序9977
砵	boi#序9976
袯	bop#序9975
蔀	buc#序9974
揹	bwf#序9973
踎	bwz#序9972
肏	ccr#序9971
嶒	cge#序9970
鸧	chn#序9969
玱	chw#序9968
莝	coc#序9967
剒	cod#序9966
唶	cok#序9965
悰	csx#序9964
焠	cvh#序9963
荙	dac#序9962
垯	dat#序9961
櫈	dgm#序9960
僜	dgr#序9959
憕	dgx#序9958
儅	dhr#序9957
垱	dht#序9956
珰	dhw#序9955
䗖	dii#序9954
亶	djw#序9953
萣	dkc#序9952
扂	dmh#序9951
椆	dnm#序9950
亸	dow#序9949
楪	dpm#序9948
䏲	dpo#序9947
绖	dps#序9946
耑	dre#序9945
塅	drt#序9944
楯	dym#序9943
忳	dyx#序9942
枓	dzm#序9941
脰	dzo#序9940
欸	eis#序9939
弍	ere#序9938
咡	erk#序9937
蚄	fhi#序9936
璠	fjw#序9935
垺	fut#序9934
缹	fzh#序9933
荄	gdc#序9932
晐	gdo#序9931
鹒	ggn#序9930
堽	ght#序9929
夬	gkv#序9928
垙	glt#序9927
腘	goo#序9926
爟	grh#序9925
咲	grk#序9924
䢼	gse#序9923
唝	gsk#序9922
堌	gut#序9921
铦	gxj#序9920
搆	gzf#序9919
噏	hak#序9918
侴	hcr#序9917
龁	hei#序9916
姮	hgn#序9915
垾	hjt#序9914
耲	hkl#序9913
喤	hlk#序9912
媓	hln#序9911
塃	hlt#序9910
彟	hoe#序9909
㸌	hoh#序9908
嬛	hrn#序9907
㬊	hro#序9906
竑	hsl#序9905
昈	huo#序9904
迴	hvz#序9903
婳	hxn#序9902
惛	hyx#序9901
垕	hzp#序9900
嵖	iae#序9899
侘	iar#序9898
垞	iat#序9897
弨	icg#序9896
槱	icm#序9895
茝	idc#序9894
唓	iek#序9893
㬚	ieo#序9892
偁	ifr#序9891
宬	igb#序9890
庱	igg#序9889
偁	igr#序9888
琤	igw#序9887
锠	ihj#序9886
巉	ije#序9885
啴	ijk#序9884
旵	ijo#序9883
儳	ijr#序9882
噇	ilk#序9881
婥	ion#序9880
惙	iox#序9879
堾	irt#序9878
㳘	isd#序9877
埫	ist#序9876
翀	isy#序9875
䝙	iuv#序9874
圌	ivk#序9873
倕	ivr#序9872
惙	ivx#序9871
欻	ixh#序9870
杻	izm#序9869
婤	izn#序9868
墐	jbt#序9867
慬	jbx#序9866
惎	jiq#序9865
烱	jlh#序9864
膙	jlo#序9863
勦	jnv#序9862
玠	jpw#序9861
悈	jpx#序9860
㠇	jqe#序9859
棬	jrm#序9858
朘	jro#序9857
泂	jsd#序9856
冏	jsk#序9855
䌹	jss#序9854
坰	jst#序9853
埆	jtt#序9852
弆	jut#序9851
斝	jxk#序9850
焌	jyh#序9849
晙	jyo#序9848
珺	jyw#序9847
珢	kfw#序9846
犺	khq#序9845
崁	kje#序9844
㧟	kkf#序9843
啹	kok#序9842
梡	krm#序9841
埪	kst#序9840
圐	kuk#序9839
朏	kuo#序9838
矻	kuu#序9837
剋	kwd#序9836
骻	kxg#序9835
