---config@码表分类=主码-5
---config@码表别名=系統詞庫
---config@允许编辑=是

#基础词库
愛護	ah#序30000
愛人	ar#序30000
愛心	ax#序30000
安放	af#序30000
安靜	aj#序30000
安排	ap#序30000
安全	aq#序30000
安慰	aw#序30000
安逸	ay#序30000
安裝	av#序30000
案例	al#序30000
暗示	au#序30000
暗算	as#序30000
暗自	az#序30000
凹凸	at#序30000
澳門	am#序30000
保留	bl#序30000
本來	bl#序30000
比賽	bs#序30000
必須	bx#序30000
標準	bv#序30000
並且	bq#序30000
不然	br#序30000
不要	by#序30000
才行	cx#序30000
才能	cn#序30000
採用	cy#序30000
參考	ck#序30000
層面	cm#序30000
產品	ip#序30000
成本	ib#序30000
成為	iw#序30000
成員	iy#序30000
承諾	in#序30000
衝突	it#序30000
充滿	im#序30000
出現	ix#序30000
此外	cw#序30000
從來	cl#序30000
從前	cq#序30000
從頭	ct#序30000
存盤	cp#序30000
錯誤	cw#序30000
代表	db#序30000
代替	dt#序30000
帶來	dl#序30000
到了	dl#序30000
地方	df#序30000
第一	dy#序30000
東西	dx#序30000
恩賜	ec#序30000
兒子	ez#序30000
而非	ef#序30000
而且	eq#序30000
而言	ey#序30000
而已	ey#序30000
發現	fx#序30000
法律	fl#序30000
煩惱	fn#序30000
繁體	ft#序30000
反對	fd#序30000
反而	fe#序30000
反應	fy#序30000
反正	fv#序30000
返回	fh#序30000
方法	ff#序30000
方面	fm#序30000
放棄	fq#序30000
放鬆	fs#序30000
非常	fi#序30000
分別	fb#序30000
分開	fk#序30000
分配	fp#序30000
諷刺	fc#序30000
否認	fr#序30000
服從	fc#序30000
幹嘛	gm#序30000
根本	gb#序30000
更新	gx#序30000
功能	gn#序30000
溝通	gt#序30000
股票	gp#序30000
關於	gy#序30000
過程	gi#序30000
過去	gq#序30000
害怕	hp#序30000
好處	hi#序30000
號碼	hm#序30000
何必	hb#序30000
後天	ht#序30000
湖南	hn#序30000
互相	hx#序30000
歡迎	hy#序30000
回去	hq#序30000
及其	jq#序30000
幾乎	jh#序30000
幾位	jw#序30000
加入	jr#序30000
簡單	jd#序30000
簡直	jv#序30000
驕傲	ja#序30000
節奏	jz#序30000
結果	jg#序30000
解放	jf#序30000
解決	jj#序30000
今天	jt#序30000
金額	je#序30000
精彩	jc#序30000
開通	kt#序30000
看出	ki#序30000
科目	km#序30000
科學	kx#序30000
可能	kn#序30000
可以	ky#序30000
恐怖	kb#序30000
恐怕	kp#序30000
況且	kq#序30000
浪費	lf#序30000
瞭解	lj#序30000
聯繫	lx#序30000
論壇	lt#序30000
漫畫	mh#序30000
貌似	ms#序30000
每年	mn#序30000
每天	mt#序30000
每週	mv#序30000
明天	mt#序30000
明顯	mx#序30000
默認	mr#序30000
目錄	ml#序30000
那些	nx#序30000
難道	nd#序30000
拗口	ak#序30000
歐陸	ol#序30000
歐陽	oy#序30000
嘔吐	ot#序30000
偶爾	oe#序30000
偶然	or#序30000
偶像	ox#序30000
培訓	px#序30000
配額	pe#序30000
配置	pv#序30000
脾氣	pq#序30000
