# 码表的名字。
name=胡言乱语
key=abcdefghijklmnopqrstuvwxyzo
# 定义编码的长度，也就是最大码长。
len=4
# 引导键，以此键引导的编码在候选唯一且无后续编码时自动上屏，最多9个，如果要所有编码都起作用，可设置*键。
pull=*
# 停止键，碰到此键如果候选项唯一且无后续编码则自动上屏，最多9个。
push=*
wildcard=?
#dwf=1 disable wildcard at first的缩写，设为1在第一码不应用万能键。
#simple 设为1表示使用出简不出全功能，
#       设为2表示重码时有简码字隐藏，
#       设为3表示重码时简码字后置。
simple=3
# 压缩显示模式，
# 设为1表示一级只显示一简和一级带标点简码的字词，
# 字不重复显示简码，只在空码或全码显示词。 
# 设为2表示只提示下一级词，其他和设为1一样。
#compact=1
# 设为1则表示精确匹配。
match=1
#pinyin=1
split='
hint=1
nsort=1
auto_clear=1
commit=0 0 0
# 指定辅助码表，
# 格式是“assist=引导键+空格+辅助码表”。
# 指定辅助码（间接辅助），
# 格式是“assist=辅助码表+空格+编码中辅助码起始位置”。
#assist=mb/hhuyk.txt 2
assist=] mb/pinyin.txt
# dicts 指定分词库，词库间用空格隔开，参见示例中的设置 。
# 现在最多支持10个分词库，分词库允许设置目录，
# 格式是“dicts=词库（或目录）+空格+词库（或目录）……”。
dicts=mb/hyly_yong_sp.txt 

#bihua 指定笔画输入法中对横竖撇点折的对应编码。
#bihua=hspnz
bihua=hupdv

# code_ 指定造词时的规则 。
# 和其他的输入法类似，e表示等于，a表示大于等于，
# 如e2表示二字词的规则造词码设置，和其他输入法相同的，
# p表示顺着数的编码，n表示倒着数的编码
# 如p11表示第一个字的第一个编码，
# n11表示最后一个字的第一个编码
# 码表输入法造词规则允许编入最后一码，
# 如p2-1表示第二个字的最后一码和其他输入法不一样的
# 造词码可以单独指定一个字符作为编码的一部分，
# 例如code_e3=p11+p21+p31+'
# 则'作为第四个编码强制指定给三字词了，
# 这样类似自然码风格的三字词就也能造了
# 还有一个特殊的.号，表示所有的意思，例如
# p..表示所有字的所有编码全部参与造词，比如拼音输入法，
# 就进行了这样的设置
code_e2=p11+p12+p21+p22
code_e3=p11+p21+p31+p32
code_a4=p11+p21+p31+n11
# 数据
# format: code word
# 码表的特殊编码
# $$ $
# $_ 空格
# $/ 换行
# $ENGLISH 进入英文输入状态
# $YYYY0 年，如二〇〇八
# $YYYY 年，如二零零八
# $yyyy 年，如2008
# $MON 月，汉字
# $mon0 月，数字，如02
# $mon 月，数字，如2
# $DAY 日，汉字
# $day0 日，数字，如02
# $day 日，数字，如2
# $HOUR 小时，汉字
# $hour 小时，数字，如2
# $hour0 小时，数字，如02
# $MIN 分钟，汉字
# $min 分钟，数字
# $SEC 秒，汉字
# $sec 秒，数字
# $WEEK 星期几，汉字
# $week 星期几，数字
# $RIQI 农历日期
# $| 光标定位
# $LAST 上一次的输出
# $SPACE 码表中唯一候选词最后添加$SPACE，则直接上屏
# 发送文件
# $FILE(file.ext)
# 支持发送文本文件和图片，文本文件必须是gb18030格式，
# 且大小小于4KB，图片的话在Windows上必须是bmp图片。
# 使用方法，如：$[test1]$FILE(1.txt) 
# 又如：$[test2]$FILE(1.bmp)
# 调整显示
# $[显示的内容]输出的内容
# 码表能模拟的按键
# ENTER，BACKSPACE，DEL，HOME，LEFT，UP，DOWN，RIGHT，
# PAGEUP，PAGEDOWN，END
